"","week","2015","2016","2017","2018","2019","2020","average"
"1",1,2460,2045,2776,2511,2134,2128,2342.33333333333
"2",2,2437,2042,2807,2468,2310,2029,2348.83333333333
"3",3,2396,1968,2650,2332,2247,2064,2276.16666666667
"4",4,2324,2091,2528,2273,2311,2087,2269
"5",5,2354,1986,2368,2220,2397,2133,2243
"6",6,2448,1990,2147,2117,2436,2101,2206.5
"7",7,2347,2076,2049,2115,2406,2089,2180.33333333333
"8",8,2194,1988,2015,2192,2131,2177,2116.16666666667
"9",9,2161,1929,1998,2151,2178,2411,2138
"10",10,2131,1920,1844,2188,2003,3214,2216.66666666667
"11",11,2067,1838,1924,2009,1968,4554,2393.33333333333
"12",12,1983,1931,1849,1840,1845,5438,2481
"13",13,1909,1873,1830,1929,1860,4685,2347.66666666667
"14",14,752,649,695,688,780,1370,822.333333333333
