week,2014,2015,2016,2017,2018,2019,2020
1,781,937,870,1006,938,871,860
2,805,977,864,1048,872,827,948
3,830,913,939,928,945,811,836
4,809,930,937,866,857,834,861
5,836,911,881,914,881,889,814
6,817,898,852,823,904,843,795
7,817,866,826,845,927,914,856
8,801,931,764,898,917,828,811
9,810,925,873,863,907,819,837
10,789,975,762,822,950,833,793
11,812,836,798,804,867,836,821
12,795,785,802,788,905,805,795
13,757,795,759,756,807,790,842
14,836,786,802,809,819,781,819
15,753,795,773,776,827,757,829
16,858,777,756,758,778,761,794
17,732,749,755,816,781,799,756
18,755,686,748,745,756,773,724
