week,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,12016,12880,12222,12656,12071,13458,12427,15952,14596,13355,13327
2,12313,12201,11967,12446,11870,13493,12330,16268,14043,13795,13285
3,11837,11692,12025,13037,11599,12938,12571,15122,13612,13649,12750
4,11705,11366,11856,13084,11414,13253,12319,15206,12879,14268,12722
5,11700,11741,11830,12932,11621,13998,12234,14867,12592,14320,12834
6,11599,11915,12983,12848,11774,14691,11901,13871,13152,14465,12509
7,12077,11544,13638,13099,11904,15019,12248,13286,13095,14019,12482
8,12059,11373,13763,13063,11779,14629,11936,12332,13540,13921,11810
9,11345,10951,13847,13604,11752,13652,12285,12318,14680,13401,12231
10,11257,11114,12931,13027,11491,13051,12396,11814,14790,12777,12393
11,11447,10905,12642,12494,11475,12494,12372,11349,13548,12127,13094
12,11008,10541,11667,11682,11133,12289,12395,11353,13109,11881,14373
13,10533,10526,11284,11413,10793,11682,12389,11099,12870,11769,17372
14,10625,10279,11222,11618,11047,11441,12101,11005,12435,11850,18739
15,10532,10041,10998,11400,10457,11583,11811,11069,12103,11344,16790
16,10647,10380,11116,10778,10782,11098,11329,10987,11960,11720,14177
